"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"CHLM_org","Our mission is to provide strategic guidance on how institutions can best utilize their PA and NP workforce while maintaining executive alignment goals.",424,288,82,178,"https://t.co/6HNSepN1WG","Center for Healthcare Leadership and Management",2015-05-18 14:27:41,FALSE,FALSE,"CHLM_org","Alexandria, VA","en","3288510388",3,FALSE,"http://pbs.twimg.com/profile_images/966030662183550976/vOwA7LRE_normal.jpg"
"dbiAtchs","I may be a bitch, but I'm not a murderer. Here's a clue for the clueless: someone wanted something of Ali's. The killer is closer than you think. -A",97938,161,0,112,NA,"Alison DiLaurentis<U+270C>",2011-01-08 19:30:25,FALSE,FALSE,"dbiAtchs","Rosewood","en","235657259",4,FALSE,"http://pbs.twimg.com/profile_images/378800000362458880/2a4311eaf0bf1f6062c4909da640d5a2_normal.png"
"TheLeaderHerald","The Leader-Herald is the best source for news, sports and visitor’s information for those in the Gloversville and Johnstown area.",10777,1444,0,2,"http://t.co/sanmwdm2GV","The Leader Herald",2009-07-21 13:07:43,FALSE,FALSE,"TheLeaderHerald","Gloversville, New York","en","58789743",65,FALSE,"http://pbs.twimg.com/profile_images/846066667/gloversvilleL_normal.jpg"
"JennyPe65245454","Blessed <U+2764><U+FE0F>",255,17,207,25,NA,"Jenny Perez",2018-08-21 12:33:44,FALSE,FALSE,"JennyPe65245454","United States","en","1031882040600408065",0,FALSE,"http://pbs.twimg.com/profile_images/1031882779661938689/dRJSBAZR_normal.jpg"
"OGPrii","#PSU20 <U+0001F98B>",58710,1011,28240,852,"https://t.co/SJXLOLwjge","'98 Chevy",2013-05-07 20:55:55,FALSE,FALSE,"OGPrii","Washington, DC","en","1411236271",13,FALSE,"http://pbs.twimg.com/profile_images/1084113261501603840/cV2twK2I_normal.jpg"
"lillmissanna","22|libra|anime enthusiast",42322,8140,38787,967,NA,"shinigami",2011-12-29 13:26:46,FALSE,FALSE,"lillmissanna","MIA","en","449761329",30,FALSE,"http://pbs.twimg.com/profile_images/1097978709561278465/idGfBUq5_normal.jpg"
"wirekingofoz","I can walk. I can talk. I can even crap my pants. Can you crap your pants? - Baby Oopsy Daisy",2447,59,6552,306,NA,"Cesar (DirtyMinority)",2014-10-08 11:08:32,FALSE,FALSE,"wirekingofoz","Chicago","en","2847065094",11,FALSE,"http://pbs.twimg.com/profile_images/1047723470103175168/k3E4xTYT_normal.jpg"
"transport_diary","Co-Author l Academic Reviewer | @KHEOPS_research Canada",1291,78,1227,66,NA,"Transporter",2016-03-27 07:33:50,FALSE,FALSE,"transport_diary","Pakistan","en","713992407319228416",2,FALSE,"http://pbs.twimg.com/profile_images/1023256582417727489/nYFK9DJJ_normal.jpg"
"MaryKel94785838","love playing pool,darts,hockey my kids are my life..new at this amazing technology",447,5,569,8,NA,"Mary Kelly",2018-12-15 06:00:27,FALSE,FALSE,"MaryKel94785838","Toronto, Ontario","en","1073820058583994370",1,FALSE,"http://pbs.twimg.com/profile_images/1092794696223596545/X9x60UwB_normal.jpg"
"Jmekaforbz","In competition with no one but my damn self. <U+0001F1E6><U+0001F1EE><U+0001F1E7><U+0001F1F8><U+0001F1FA><U+0001F1F8>",5309,133,2861,193,NA,"MARCH MADNESS<U+2763>",2011-08-29 03:35:14,FALSE,FALSE,"Jmekaforbz","Miami fl","en","364053928",1,FALSE,"http://pbs.twimg.com/profile_images/1033082356905725952/i6zDFh8y_normal.jpg"
"totalhedgi","Emily • Animation Student at VMC • A Professional Cyclops • Chicken Alfredo Queen <U+0001F451> • Cryptid Mom Currently Co-Leading : @eenereanimate",248,34,597,95,NA,"<U+0001F47D> emily lawton <U+0001F47D>",2018-11-30 17:23:13,FALSE,FALSE,"totalhedgi","Niagara Falls, NY","en","1068556066642960384",0,FALSE,"http://pbs.twimg.com/profile_images/1100888881921060866/xgc65KC__normal.png"
"jxconna","a frickin’ stunt puller from birth",7491,198,4545,142,NA,"<U+029D><U+025B><U+057C><U+057C><U+0268><U+0284><U+025B><U+0280>",2013-10-01 19:43:56,FALSE,FALSE,"jxconna","North Carolina ","en","1924430534",0,FALSE,"http://pbs.twimg.com/profile_images/1101840071236485120/yL6re9BW_normal.jpg"
"JuiceMan99","love Boston sports teams. Please support my GoFundMe: https://t.co/m6fBzSdx29…",13218,1254,41828,4993,"https://t.co/0SysNk1fqS","JuiceMann99 #MAGA",2009-04-29 20:42:20,FALSE,FALSE,"JuiceMan99","Massachusetts","en","36474446",8,FALSE,"http://pbs.twimg.com/profile_images/1027745136648839169/vdZOW8TW_normal.jpg"
"FSUAndrew","Managing Editor @Convene | Formerly @cerosdotcom @wediditnyc | Happiest when I'm building things | FSU alumnus x2",17132,2113,22777,997,"https://t.co/GHwDFwU9SB","Andrew Littlefield",2009-05-15 15:45:16,FALSE,FALSE,"FSUAndrew","Brooklyn, NY","en","40266165",181,FALSE,"http://pbs.twimg.com/profile_images/1104125492247044096/AVdvoVbH_normal.png"
"attilahypnotist","Hypnotherapist, Psychology, Stage Hypnosis Trainer, Personal Development Seminars, Hypnotherapy Trainer, Nutrition,",25255,507,18,659,"http://t.co/HOb9ATP4Zz","Attila Hypnotist",2008-11-28 18:51:40,FALSE,FALSE,"attilahypnotist","Canada","en","17716012",19,FALSE,"http://pbs.twimg.com/profile_images/112424444/attila_j._kun_normal.jpg"
"nezuly","Nelsi • Neru »21 • She/Her»ESPAÑOL//ENGLISH » Graphic Designer • Unprofessional doodler»<U+0001F338><U+0001F338><U+0001F338>",45,51,3391,324,NA,"Ne(zuly)| <U+2740><U+2741><U+273F>",2017-02-21 14:55:20,FALSE,FALSE,"nezuly","Nicaragua","es","834053898616836099",0,FALSE,"http://pbs.twimg.com/profile_images/966405167091519488/dHPCr1PA_normal.jpg"
"MHero0822","#Liberal #Democrat #NoRA #theResistance #Resistance #Resist <U+0001F6AB> Trump <U+0001F6AB> GOP <U+0001F6AB>MAGAts Concerned American #ResistTrump I will vote for the Democrat candidate",7480,9437,3883,9614,NA,"Dave Gross <U+0001F30A><U+262E><U+FE0F>",2018-08-14 15:19:33,FALSE,FALSE,"MHero0822","New  Jersey","en","1029387051857326080",3,FALSE,"http://pbs.twimg.com/profile_images/1099674757795065862/9uYBuGBA_normal.jpg"
"KRobinsin1018","<U+0001F499>Mommy of 2<U+0001F497>. Lover of coffee, wine, & my high school sweetheart. Teaching children is my passion.",131,24,2592,95,NA,"Kristin",2012-10-28 14:54:21,FALSE,FALSE,"KRobinsin1018","Suwanee, GA","en","910459374",0,FALSE,"http://pbs.twimg.com/profile_images/901678565070123008/opMF0aSz_normal.jpg"
"2019lyrics","Warning: Some Lyrics are Explicit",43127,653,157,129,NA,"Songs Lyrics",2018-01-25 23:39:56,FALSE,FALSE,"2019lyrics","Garrett, IN","en","956673017567903745",5,FALSE,"http://pbs.twimg.com/profile_images/1099923805273772032/C7jJkRi1_normal.jpg"
"ALITHESHAMAN","full blooded Palestinian wit opinions | DDS | writer | 'Beam Me Up' on all platforms https://t.co/EAdddhLzb0",28205,701,36148,294,"https://t.co/xqRLb5jcnz","ALITHESHAMAN",2011-11-30 21:00:11,FALSE,FALSE,"ALITHESHAMAN","Milwaukee ","en","425309740",3,FALSE,"http://pbs.twimg.com/profile_images/1011009596960509952/HtVHe1nX_normal.jpg"
"sugababyy_","<U+0001F47B>: marisaaa.xo3 // ghs<U+0001F4DA>//",1237,130,5379,153,NA,"marisa<U+0001F497>",2017-12-26 19:22:56,FALSE,FALSE,"sugababyy_","New Mexico, USA","en","945736708338761728",0,FALSE,"http://pbs.twimg.com/profile_images/1103834565078990849/zhFI5VSY_normal.jpg"
"KVerSluisk","Disabled NAVY veteran. Financially Conservative Democrat. Very anti-discrimination and anti-hate.  One America with many religions and ethnicities!!!",5982,293,6465,580,NA,"Kate Ver Sluis",2012-12-08 03:01:34,FALSE,FALSE,"KVerSluisk","Maine, USA","en","996313782",9,FALSE,"http://pbs.twimg.com/profile_images/1045691251046195202/0sqXCcZN_normal.jpg"
"VirginiaEllis14","",136,45,9,133,NA,"Virginia Ellis",2012-10-04 23:22:35,FALSE,FALSE,"VirginiaEllis14","Knoxville, TN","en","862190930",0,FALSE,"http://pbs.twimg.com/profile_images/960958032078364672/eXfnN5lH_normal.jpg"
"jlax_13","",18167,194,18752,333,NA,"John LaCross",2013-05-21 17:59:41,FALSE,FALSE,"jlax_13","Charlotte","en","1446921534",5,FALSE,"http://pbs.twimg.com/profile_images/378800000308985740/1d394269bd2f761d80d5ed7b194c47f0_normal.jpeg"
"jamphotographme","Motorsports photographer. <U+0001F355><U+0001F369><U+0001F37B>",848,278,1002,481,"https://t.co/Bo4wEUEGYr","John A. Miller",2009-07-27 04:15:47,FALSE,FALSE,"jamphotographme","Maine","en","60486330",5,FALSE,"http://pbs.twimg.com/profile_images/1016380601417502720/6WK9HS9i_normal.jpg"
"teenwolfgray72","getting our futures read by psychics! (love life, living together, marriage!?)/ Dolan Twins!! Ft. The Psychic Twins!!",13764,1038,10514,3685,"https://t.co/X3awTBhT8M","PatriciaSingh",2015-11-29 09:12:11,FALSE,FALSE,"teenwolfgray72","Lebanon","en","4316439257",9,FALSE,"http://pbs.twimg.com/profile_images/1103145274954928128/ySy0fDDi_normal.jpg"
"AngryArtist113","Illustrator Cartoonist and Nerdy designer | co-host of @fggpod | She/He pronouns | Pansexual | Commissions are OPEN!",11228,894,12064,606,"https://t.co/fe8rUMOfLj","Jess<U+2728>(commissions open)",2010-03-24 19:27:10,FALSE,FALSE,"AngryArtist113","illinois","en","126076255",14,FALSE,"http://pbs.twimg.com/profile_images/1099455877646553089/ju9aabHN_normal.jpg"
"WilliamBasham11","I help Jenniferjocobb in the truck series Nascar 5th year again. Dover 2019 my Debut was 2017again 2018  Diabetic on insulin Social advocate Christian new look!",30952,234,4160,260,"https://t.co/bsda8QkBhV","10 <U+0001F69A> team nascar with Jen",2015-10-28 17:42:44,FALSE,FALSE,"WilliamBasham11","York, PA","en","4062222268",19,FALSE,"http://pbs.twimg.com/profile_images/1100155400484212736/wx7kSZ09_normal.jpg"
"indielagone","Official Twitter page for Indie Lagone. Active Rock Music centered around hooks that stay in you. https://t.co/z29TCTeNxG",6003,5717,5326,5762,"https://t.co/Tkjp13CRDM","Indie LAgone",2011-02-28 20:33:42,FALSE,FALSE,"indielagone","Maryville, TN","en","258933680",36,FALSE,"http://pbs.twimg.com/profile_images/1030289607441702912/VPsSIS04_normal.jpg"
"melgreenblatt","",5357,221,3324,273,NA,"Melissa Greenblatt",2009-03-30 00:04:51,FALSE,FALSE,"melgreenblatt","New York","en","27537555",1,FALSE,"http://pbs.twimg.com/profile_images/739884575841738752/L041LPYC_normal.jpg"
"SadiePerez131","I write, I sing, love @maracleman, I met @itsBayleyWWE once, and I like @emmerdale",337,16,479,342,NA,"Sadie_Perez_13",2018-07-28 01:26:13,FALSE,FALSE,"SadiePerez131","Kenosha, WI","en","1023016743969665024",0,FALSE,"http://pbs.twimg.com/profile_images/1091255487235047424/dT-K21wK_normal.jpg"
"tracyduberman","Founder of The Leadership Development Group (@TLDGroupInc). We align talent to execute strategy for our healthcare industry clients.",943,243,6,284,"https://t.co/KbiDOQcjza","Tracy Duberman",2009-06-16 23:07:14,FALSE,FALSE,"tracyduberman","New York, NY","en","47767613",28,FALSE,"http://pbs.twimg.com/profile_images/634527959043416065/vbKLmPqB_normal.jpg"
"untravel","PhD in Philosophy 
Specialties include: German Idealism, the history of political philosophy, aesthetics and (dumb) jokes",10698,247,31846,451,NA,"Palm.doc",2007-03-21 23:53:31,FALSE,FALSE,"untravel","Belgium","en","1814161",7,FALSE,"http://pbs.twimg.com/profile_images/1097092661700452352/q-kt73up_normal.jpg"
"essveesumit","<U+0001F1EE><U+0001F1F3> Indian By Nationality || Hindu By Birth || Human By Religion || Namo Follower || Blessed To Live In The Era Of Modi Ji",826,71,608,32,NA,"Sumit Verma",2017-04-20 10:11:21,FALSE,FALSE,"essveesumit","Hindustan","en","855000929694871556",0,FALSE,"http://pbs.twimg.com/profile_images/1090885059735781376/VhVkISif_normal.jpg"
"MuhammadEGarcia","#AfroDominican <U+0001F1E9><U+0001F1F4> del Bronx, Proud Bàbá of 4 <U+0001F451>'s, Community Advocate, Healer, Mentor, Cigar Aficionado and Jazz Enthusiast",513,136,1249,515,NA,"Muhammad Ernesto García",2017-08-17 18:11:46,FALSE,FALSE,"MuhammadEGarcia","New York, NY","en","898245984882483200",3,FALSE,"http://pbs.twimg.com/profile_images/1103715671010168832/2C7LtW3p_normal.jpg"
"Creative_Eval","#Evaluation for social change leaders, artists, & activists. Guided by truth, justice, and beauty.",160,251,212,422,"https://t.co/5vQs50mUsP","Creative Evaluation",2019-01-03 20:10:37,FALSE,FALSE,"Creative_Eval","Minneapolis, MN","en","1080919380022710272",5,FALSE,"http://pbs.twimg.com/profile_images/1080924515968929792/jBuU9WzN_normal.jpg"
"Melany16","<U+2661>, Romans 8:18, NICARAGUA <U+0001F1F3><U+0001F1EE><U+0001F49C> Florida <U+0001F1FA><U+0001F1F8><U+0001F3DD> <U+2708><U+FE0F> France <U+0001F1EB><U+0001F1F7>",29727,391,8221,280,NA,"Melany Vanegas",2010-04-11 19:15:55,FALSE,FALSE,"Melany16","Florida, USA","en","131921696",1,FALSE,"http://pbs.twimg.com/profile_images/1085964448769232897/aiIU-zBr_normal.jpg"
"ellejann","Anxiety-fueled art gremlin. Can occasionally be found dangling from a pole. She/her. BG Artist on Care Bears: Unlock the Magic! <U+0001F308><U+0001F43B>",4022,297,8011,450,"https://t.co/QxDPGCAwiW","<U+2728> Janjan <U+2728>",2013-07-18 00:49:14,FALSE,FALSE,"ellejann","Halifax, Nova Scotia","en","1602195338",7,FALSE,"http://pbs.twimg.com/profile_images/1102758602593443842/X1HHICNs_normal.png"
"manofthetown","Lover of comics, Transformers, videogames, & all things geeky.  Occasional podcaster with the fine folks at https://t.co/dZDA1HSgPb & game streamer at https://t.co/ZSKZxnyLEk",9204,239,3079,426,NA,"CTriplette",2009-01-24 02:37:41,FALSE,FALSE,"manofthetown","Camp Crystal Lake","en","19428732",7,FALSE,"http://pbs.twimg.com/profile_images/1086470894166384640/nfeaXs-a_normal.jpg"
"memorywillow","A pair of blinking eyes—hourglass heart.  https://t.co/q11crRteDM",1917,1067,9451,1439,NA,"Nakomi.",2013-01-09 01:12:00,FALSE,FALSE,"memorywillow","USA","en","1072478190",24,FALSE,"http://pbs.twimg.com/profile_images/1034858190696079360/mdcQLVMC_normal.jpg"
"glatt99","",452,58,54,33,"http://t.co/6QTmr9KQAn","David J Glatthorn",2009-04-21 20:13:41,FALSE,FALSE,"glatt99","West Palm Beach, FL","en","34024570",0,FALSE,"http://pbs.twimg.com/profile_images/1024742001311399943/iZ3muERE_normal.jpg"
"Uno_denick","Everyday we make progress, going through a phase",24236,726,13753,1106,NA,"Uno<U+0001F3C0><U+0001F343>",2012-02-25 14:33:29,FALSE,FALSE,"Uno_denick","Reynoldsburg, OH","en","503089776",4,FALSE,"http://pbs.twimg.com/profile_images/1101509806760828928/PERcC30k_normal.jpg"
"vanissimos","vani’s personal/hc/oc account • basically lives here • currently dying via exams",6005,115,8566,130,NA,"<U+25BD>",2017-01-01 23:46:00,FALSE,FALSE,"vanissimos","flower pot","en","815705664039231488",0,FALSE,"http://pbs.twimg.com/profile_images/1063863548894302208/OO1zawRQ_normal.jpg"
"iam_zaid","Keeping it Real since '94. Follow at your own risk.",134227,2482,15029,261,"https://t.co/7n2TJEDmsX","Burning Dezire.",2011-10-27 03:05:57,FALSE,FALSE,"iam_zaid","Kashmir","en","399173393",19,FALSE,"http://pbs.twimg.com/profile_images/1101211862568501248/bprAnN4v_normal.jpg"
"WorldWeeklyNew2","World Weekly News - World News, Entertainment, Health, Science, Technology, Sports, Politics & more.",18555,1529,0,79,"https://t.co/RYAoGmUnfF","World Weekly News",2018-11-30 14:26:42,FALSE,FALSE,"WorldWeeklyNew2","New York, USA","en","1068511644093825024",1,FALSE,"http://pbs.twimg.com/profile_images/1068515462324006912/w-y5hyKP_normal.jpg"
"AmberT201","",1033,34,180,196,NA,"Amber Thompson",2012-05-04 17:55:22,FALSE,FALSE,"AmberT201","United States","en","571027585",0,FALSE,"http://pbs.twimg.com/profile_images/892182913156075520/UNWuXWT2_normal.jpg"
"BDandCo","Tweeting news and information about BD (Becton, Dickinson and Co.) - a leading global medical technology company. #bectondickinson #BD #BDX",1838,7207,383,425,"https://t.co/wJ5nN876xg","BD",2009-11-24 23:10:59,FALSE,FALSE,"BDandCo","Franklin Lakes, NJ","en","92391733",199,FALSE,"http://pbs.twimg.com/profile_images/686293515215716353/xug2BafP_normal.jpg"
"WildcardDeege","NY born. New England made. Red Sox. Celtics. Bruins. Pats.",3472,88,3269,960,NA,"Deege",2018-02-03 18:58:44,FALSE,FALSE,"WildcardDeege","Massachusetts, USA","en","959863742468100100",1,FALSE,"http://pbs.twimg.com/profile_images/1092278403191975936/wlHJ3HPW_normal.jpg"
"JedKronfeld","tall dark and grandson // pic by @brentraptor",9250,220,7228,706,"https://t.co/Ctrr9rNbYI","Tennessee Jed in t-minus 7 days",2009-11-08 01:18:31,FALSE,FALSE,"JedKronfeld","New York, NY","en","88317471",1,FALSE,"http://pbs.twimg.com/profile_images/1011795923993706496/7sMPr57v_normal.jpg"
"CokeJ__","SC ; cokej95 <U+0001F4F8> Instagram : dri.j__ . <U+270A><U+0001F3FE> beautiful black queen ! North Nashville <U+0001F3DA><U+203C><U+FE0F> Long Live Rico <U+0001F499> .",10939,509,2642,475,NA,"CokeJ<U+0001F451>.",2015-09-14 18:10:17,FALSE,FALSE,"CokeJ__","Nashville, TN","en","3655519517",5,FALSE,"http://pbs.twimg.com/profile_images/1096905147354099712/mZtr5E8Y_normal.jpg"
"honayy1915","#doitfortheculture",3420,443,17795,380,NA,"Hunny <U+0001F36F>",2014-03-06 04:33:16,FALSE,FALSE,"honayy1915","NM","en","2387358039",0,FALSE,"http://pbs.twimg.com/profile_images/1070436162857095168/XxJGDstB_normal.jpg"
"owen_j_ache","",736,33,2590,43,NA,"<U+30AA><U+30A6><U+30A8><U+30F3>",2018-12-07 16:10:33,FALSE,FALSE,"owen_j_ache","Bronx, NY","en","1071074493999792128",0,FALSE,"http://pbs.twimg.com/profile_images/1096201401049456651/_m40rhVl_normal.jpg"
"ebmgroupusa","Hospital Organizations and Physician Enterprise operational and financial performance optimization advisory services, tools and expertise",215,40,7,52,"https://t.co/t7XdCCpzum","Gregory M. Schulz, FACHE",2009-11-18 16:56:36,FALSE,FALSE,"ebmgroupusa","North Carolina, USA","en","90909422",4,FALSE,"http://pbs.twimg.com/profile_images/1001987674826297345/e1JF93MU_normal.jpg"
"wampusreynolds","My politics are radical but my jokes are dad he/his",20617,1367,103724,870,"https://t.co/Cym2A3mMgR","that haircut is dumb",2009-04-15 01:29:10,FALSE,FALSE,"wampusreynolds","Norman, OK","en","31295634",38,FALSE,"http://pbs.twimg.com/profile_images/620140424561164288/gSnMU3eO_normal.jpg"
"Optum","Optum delivers transformational health solutions that are simple, effective and lower cost for all those we serve.",4662,20418,814,407,"http://t.co/gsKONT4tDN","Optum",2011-06-15 20:27:59,FALSE,TRUE,"Optum","Eden Prairie, MN","en","318007077",312,FALSE,"http://pbs.twimg.com/profile_images/859143746520219648/7r3yBj4z_normal.jpg"
"__MK99","Born in the late 90s INTJ (Speak:EN/TH/DE) ,Bibliophile<U+0001F4DA>|EXCHANGE STUDENT #MookinAT <U+0001F1E6><U+0001F1F9> hobbies: <U+0001F3B9>,<U+0001F3BB>,& <U+0001F4F8> ||<U+0E21><U+0E35><U+0E4A>@sullie_sp",62148,75,1109,670,"https://t.co/uGbnObrZZ1","<U+0001F4D6><U+0001F4D5><U+0001F4D7><U+0001F4D8><U+0001F4D9><U+0001F4DA><U+0001F4DD><U+0001F489><U+0001F48A><U+0001F9EA><U+0001F9EC><U+0001F9A0>",2013-03-03 18:31:33,FALSE,FALSE,"__MK99","Middle-Earth","en","1239547268",6,FALSE,"http://pbs.twimg.com/profile_images/1101838827151187968/oWX6A0tx_normal.jpg"
"BookingAdviser","Compare all the top travel sites in one simple search and find just what you’re after. No booking fee, no mark-up. Find the best deal.",767,5,0,6,"https://t.co/Zrcrvbh6U3","Booking Adviser",2018-03-16 17:45:09,FALSE,FALSE,"BookingAdviser","South Carolina, USA","en","974703129395716096",0,FALSE,"http://pbs.twimg.com/profile_images/974706235986628609/Ws-wlB4s_normal.jpg"
"TraceFace__","IG: tracex_face Snap: tracex.face",19886,326,5217,134,NA,"TracyX.",2011-10-31 02:05:16,FALSE,FALSE,"TraceFace__","wisconsin","en","401770860",23,FALSE,"http://pbs.twimg.com/profile_images/1056194022195281922/DEawpb1y_normal.jpg"
"Wayneblackbur19","#Activist #Impeachthemofo Does not play nice with others Unmedicated #Homeless 4 years and counting #HomelessResister #TheResistance",2792,2549,1075,2783,NA,"Wayne Blackburn",2019-01-13 17:55:25,FALSE,FALSE,"Wayneblackbur19","East Lansing, MI","en","1084509232521756672",3,FALSE,"http://pbs.twimg.com/profile_images/1103278129441849344/Zzrk249r_normal.jpg"
"CCADMFA","",1746,289,3,205,"http://t.co/6AcPMj6fYB","CCAD MFA",2009-11-13 02:09:29,FALSE,FALSE,"CCADMFA","Columbus, Ohio","en","89601933",1,FALSE,"http://pbs.twimg.com/profile_images/525289500755247106/Lda1Pc5j_normal.jpeg"
"Mary_NSAN","Communications Manager for the National Skills Academy Nuclear @NSA_Nuclear -the skills forum for the nuclear industry. All views expressed here are my own",611,379,133,1005,"http://t.co/eg7f1UBofH","Mary Kinsella",2015-04-16 08:42:43,FALSE,FALSE,"Mary_NSAN","Northwest","en","3171998637",13,FALSE,"http://pbs.twimg.com/profile_images/588624448602800128/x5zELz61_normal.jpg"
